structure_id,ionic_lock_like,npxxy_dry_distance,gibbs_kcal_mol
anm_00,13.061419486999512,16.238988876342773,-9995.996537036446
anm_01,13.260979652404785,16.166412353515625,-9974.631933135315
anm_02,13.21020793914795,16.19115447998047,-9992.544903340913
anm_03,13.135883331298828,16.21495819091797,-9998.124226502005
anm_04,13.190726280212402,16.148591995239258,-9991.907696230304
