structure_id,interpolation_fraction,ionic_lock_like,pxxy_dry_distance,rmsd_to_active,rmsd_to_inactive,gibbs_kcal_mol
path_00_f0.00,0.0,,12.626294136047363,0.0,2.5965218544006348,-13104.04589508778
path_01_f0.10,0.1,,12.823376655578613,0.25965356826782227,2.33686900138855,-13102.060468202608
path_02_f0.20,0.2,,13.029419898986816,0.5193040370941162,2.0772182941436768,-13086.491337935378
path_03_f0.30,0.30000000000000004,,13.24487018585205,0.7789482474327087,1.81757390499115,-13017.846692765339
path_04_f0.40,0.4,,13.467682838439941,1.0386096239089966,1.5579124689102173,-12808.024525374407
path_05_f0.50,0.5,,13.6984281539917,1.2982901334762573,1.2982319593429565,-12757.095071180735
path_06_f0.60,0.6000000000000001,,13.936853408813477,1.5579235553741455,1.038598656654358,-12911.787596310252
path_07_f0.70,0.7000000000000001,,14.181632041931152,1.8175660371780396,0.7789561152458191,-13021.614279859305
path_08_f0.80,0.8,,14.433757781982422,2.077228546142578,0.5192936658859253,-13050.158671624064
path_09_f0.90,0.9,,14.692208290100098,2.3368470668792725,0.2596753239631653,-13064.51991288776
path_10_f1.00,1.0,,14.95665454864502,2.5965185165405273,0.0004989951848983765,-13066.575629860285
