structure_id,interpolation_fraction,ionic_lock_like,pxxy_dry_distance,rmsd_to_active,rmsd_to_inactive,gibbs_kcal_mol_ph7.4,gibbs_kcal_mol_ph6.0
path_00_f0.00,0.0,,12.626294136047363,0.0,2.5965218544006348,-13104.04589508778,-12985.60062861544
path_01_f0.10,0.1,,12.823376655578612,0.2596535682678222,2.33686900138855,-13102.060468202608,-12981.578815645684
path_02_f0.20,0.2,,13.029419898986816,0.5193040370941162,2.0772182941436768,-13086.491337935378,-12948.589926296883
path_03_f0.30,0.3,,13.24487018585205,0.7789482474327087,1.81757390499115,-13017.84669276534,-12897.32520100378
path_04_f0.40,0.4,,13.46768283843994,1.0386096239089966,1.5579124689102173,-12808.024525374409,-12686.624348378853
path_05_f0.50,0.5,,13.6984281539917,1.298290133476257,1.2982319593429563,-12757.095071180736,-12648.322542234377
path_06_f0.60,0.6000000000000001,,13.936853408813477,1.5579235553741455,1.038598656654358,-12911.787596310252,-12801.55522443403
path_07_f0.70,0.7000000000000001,,14.181632041931152,1.81756603717804,0.7789561152458191,-13021.614279859305,-12883.487105802433
path_08_f0.80,0.8,,14.433757781982422,2.077228546142578,0.5192936658859253,-13050.158671624064,-12923.820160622774
path_09_f0.90,0.9,,14.692208290100098,2.3368470668792725,0.2596753239631653,-13064.51991288776,-12955.562587096967
path_10_f1.00,1.0,,14.95665454864502,2.596518516540528,0.0004989951848983,-13066.575629860285,-12925.9904083095
