structure_id,ionic_lock_like,pxxy_dry_distance,parent_state,gibbs_kcal_mol
active_00,11.943603515625,12.417744636535645,active,-13666.247707675917
active_01,11.944771766662598,12.418615341186523,active,-13675.088491997714
active_02,11.942849159240723,12.416470527648926,active,-13671.097455525138
active_03,11.942166328430176,12.41569995880127,active,-13693.11652565144
active_04,11.943351745605469,12.41784381866455,active,-13703.494224466254
active_05,11.94481086730957,12.419130325317383,active,-13668.28053341183
active_06,11.943510055541992,12.4164457321167,active,-13531.395777852864
active_07,11.942737579345703,12.415790557861328,active,-13692.36020184746
active_08,11.942179679870605,12.416065216064453,active,-13678.586165058388
active_09,11.942124366760254,12.415244102478027,active,-13696.350296722409
inactive_00,11.69770336151123,13.528395652770996,inactive,-13712.928066936194
inactive_01,11.698671340942383,13.528626441955566,inactive,-13692.981339892589
inactive_02,11.697793960571289,13.527314186096191,inactive,-13691.319200878354
inactive_03,11.698471069335938,13.527604103088379,inactive,-13704.519417223597
inactive_04,11.698277473449707,13.527162551879883,inactive,-13721.64211105795
inactive_05,11.697505950927734,13.526768684387207,inactive,-13691.686297607044
inactive_06,11.698721885681152,13.527253150939941,inactive,-13717.409426022508
inactive_07,11.699346542358398,13.527027130126953,inactive,-13699.805916458157
inactive_08,11.698548316955566,13.526559829711914,inactive,-13688.53245842021
inactive_09,11.69795036315918,13.526922225952148,inactive,-13703.574559726076
