structure_id,interpolation_fraction,gibbs_kcal_mol_ph7.4,gibbs_kcal_mol_ph6.0,rmsd_to_active,rmsd_to_inactive
path_00_f0.00,0.0,-11066.577522935171,-10907.126392837954,0.0,0.8394063115119934
path_01_f0.10,0.1,-11060.065743542418,-10904.544079330899,0.08391351252794266,0.7554944753646851
path_02_f0.20,0.2,-11062.676607442563,-10904.490112144837,0.16787904500961304,0.671528160572052
path_03_f0.30,0.30000000000000004,-11063.372197226685,-10888.674125617155,0.2518034279346466,0.5876036286354065
path_04_f0.40,0.4,-11032.83674294789,-10876.095904521364,0.3357630670070648,0.503643810749054
path_05_f0.50,0.5,-11006.324647576741,-10864.811976258763,0.4196997582912445,0.41970717906951904
path_06_f0.60,0.6000000000000001,-11014.7831488215,-10861.135187636974,0.5036308169364929,0.33577606081962585
path_07_f0.70,0.7000000000000001,-11044.411889116709,-10904.35357739057,0.5875773429870605,0.25182971358299255
path_08_f0.80,0.8,-11078.32908930039,-10922.479675714594,0.6715227365493774,0.16788449883460999
path_09_f0.90,0.9,-11068.255007838867,-10911.155103107214,0.7554488182067871,0.08395908027887344
path_10_f1.00,1.0,-11051.012622688644,-10893.415242491048,0.8394075632095337,0.0005091563798487186
